B1,B2,B3
ECON,CLIT,BAFS
CHEM,ICT,PHY
CHIS,ECON,BAFS
CHEM,ICT,PHY
CHEM,ICT,PHY
BIO,CHEM,VA
CHEM,ECON,PHY
PHY,CHEM,BIO
ECON,GEO,PHY
CHEM,ICT,BIO
PHY,CHEM,BIO
CHEM,ECON,PHY
CHEM,BAFS,PHY
CHIS,CLIT,BAFS
CHEM,BAFS,PHY
PHY,CHEM,BIO
BIO,CHEM,PHY
PHY,CHEM,BIO
ECON,ICT,BAFS
ECON,CLIT,PHY
CHEM,ECON,BIO
CHEM,ECON,PHY
CHEM,BAFS,PHY
PHY,GEO,BAFS
CHEM,ECON,BAFS
CHEM,ECON,BAFS
CHEM,ICT,PHY
ECON,GEO,BAFS
PHY,CHEM,BIO
ECON,ICT,PHY
PHY,CHEM,BIO
BIO,CHEM,PHY
ECON,BAFS,PHY
CHEM,ECON,BIO
CHIS,ECON,BAFS
ECON,ICT,PHY
CHEM,ECON,BIO
CHEM,ECON,PHY
ECON,CLIT,BAFS
ECON,CLIT,BAFS
CHIS,CHEM,PHY
CHIS,ICT,PHY
ECON,ICT,PHY
PHY,BAFS,BIO
PHY,CHEM,BIO
PHY,CHEM,BIO
BIO,GEO,VA
CHEM,ECON,BIO
CHIS,CHEM,BIO
CHIS,ICT,PHY
CHEM,GEO,BIO
CHEM,GEO,BIO
PHY,ICT,BIO
PHY,CHEM,BIO
CHIS,ICT,PHY
PHY,ICT,HIST
CHEM,BAFS,BIO
CHEM,BAFS,BIO
CHEM,BAFS,PHY
CHEM,ECON,BIO
ECON,ICT,PHY
CHEM,GEO,BIO
CHEM,ICT,PHY
CHEM,ICT,PHY
PHY,BAFS,BIO
ECON,ICT,PHY
CHEM,ECON,BIO
CHEM,ECON,BIO
BIO,ICT,VA
CHEM,GEO,BIO
PHY,ICT,BAFS
CHIS,GEO,HIST
CHIS,CLIT,BAFS
CHIS,CLIT,PHY
CHIS,CLIT,HIST
CHIS,CLIT,BAFS
CHIS,CLIT,VA
CHIS,CLIT,VA
BIO,CLIT,BAFS
CHIS,CLIT,BAFS
CHIS,CLIT,HIST
CHIS,BAFS,HIST
CHIS,ECON,VA
CHIS,GEO,BIO
PHY,GEO,HIST
CHIS,CLIT,PHY
CHIS,CLIT,BAFS
CHIS,CLIT,BIO
CHIS,CLIT,BAFS
CHIS,BAFS,HIST
ECON,CLIT,VA
CHIS,CLIT,VA
PHY,CLIT,VA
BIO,CLIT,HIST
CHIS,CLIT,VA
CHIS,BAFS,VA
CHIS,GEO,BIO
CHIS,CLIT,VA
CHIS,GEO,HIST
CHIS,CLIT,BAFS
ECON,BAFS,BIO
ECON,ICT,HIST
CHIS,BAFS,PHY
ECON,GEO,BAFS
CHIS,ECON,BAFS
CHIS,ECON,BAFS
CHEM,GEO,HIST
ECON,GEO,HIST
ECON,BAFS,HIST
ECON,CLIT,BAFS
CHIS,ECON,BAFS
ECON,GEO,BAFS
BIO,GEO,VA
ECON,GEO,BAFS
ECON,BAFS,BIO
ECON,BAFS,VA
ECON,GEO,BAFS
CHIS,GEO,BAFS
BIO,GEO,VA
ECON,ICT,BAFS
ECON,GEO,VA
BIO,BAFS,VA
CHEM,GEO,PHY
ECON,GEO,VA
ECON,BAFS,BIO
BIO,GEO,HIST
ECON,GEO,HIST
ECON,GEO,HIST
CHIS,ECON,BAFS
ECON,BAFS,PHY
CHEM,GEO,HIST
CHIS,ECON,BAFS
