B1,B2,B3
ECON1,CLIT2,BAFS3
CHEM1,ICT2,PHY3
CHIS1,ECON2,BAFS3
CHEM1,ICT2,PHY3
CHEM1,ICT2,PHY3
BIO1,CHEM2,VA3
CHEM1,ECON2,PHY3
PHY1,CHEM2,BIO3
ECON1,GEO2,PHY3
CHEM1,ICT2,BIO3
PHY1,CHEM2,BIO3
CHEM1,ECON2,PHY3
CHEM1,BAFS2,PHY3
CHIS1,CLIT2,BAFS3
CHEM1,BAFS2,PHY3
PHY1,CHEM2,BIO3
BIO1,CHEM2,PHY3
PHY1,CHEM2,BIO3
ECON1,ICT2,BAFS3
ECON1,CLIT2,PHY3
CHEM1,ECON2,BIO3
CHEM1,ECON2,PHY3
CHEM1,BAFS2,PHY3
PHY1,GEO2,BAFS3
CHEM1,ECON2,BAFS3
CHEM1,ECON2,BAFS3
CHEM1,ICT2,PHY3
ECON1,GEO2,BAFS3
PHY1,CHEM2,BIO3
ECON1,ICT2,PHY3
PHY1,CHEM2,BIO3
BIO1,CHEM2,PHY3
ECON1,BAFS2,PHY3
CHEM1,ECON2,BIO3
CHIS1,ECON2,BAFS3
ECON1,ICT2,PHY3
CHEM1,ECON2,BIO3
CHEM1,ECON2,PHY3
ECON1,CLIT2,BAFS3
ECON1,CLIT2,BAFS3
CHIS1,CHEM2,PHY3
CHIS1,ICT2,PHY3
ECON1,ICT2,PHY3
PHY1,BAFS2,BIO3
PHY1,CHEM2,BIO3
PHY1,CHEM2,BIO3
BIO1,GEO2,VA3
CHEM1,ECON2,BIO3
CHIS1,CHEM2,BIO3
CHIS1,ICT2,PHY3
CHEM1,GEO2,BIO3
CHEM1,GEO2,BIO3
PHY1,ICT2,BIO3
PHY1,CHEM2,BIO3
CHIS1,ICT2,PHY3
PHY1,ICT2,HIST3
CHEM1,BAFS2,BIO3
CHEM1,BAFS2,BIO3
CHEM1,BAFS2,PHY3
CHEM1,ECON2,BIO3
ECON1,ICT2,PHY3
CHEM1,GEO2,BIO3
CHEM1,ICT2,PHY3
CHEM1,ICT2,PHY3
PHY1,BAFS2,BIO3
ECON1,ICT2,PHY3
CHEM1,ECON2,BIO3
CHEM1,ECON2,BIO3
BIO1,ICT2,VA3
CHEM1,GEO2,BIO3
PHY1,ICT2,BAFS3
CHIS1,GEO2,HIST3
CHIS1,CLIT2,BAFS3
CHIS1,CLIT2,PHY3
CHIS1,CLIT2,HIST3
CHIS1,CLIT2,BAFS3
CHIS1,CLIT2,VA3
CHIS1,CLIT2,VA3
BIO1,CLIT2,BAFS3
CHIS1,CLIT2,BAFS3
CHIS1,CLIT2,HIST3
CHIS1,BAFS2,HIST3
CHIS1,ECON2,VA3
CHIS1,GEO2,BIO3
PHY1,GEO2,HIST3
CHIS1,CLIT2,PHY3
CHIS1,CLIT2,BAFS3
CHIS1,CLIT2,BIO3
CHIS1,CLIT2,BAFS3
CHIS1,BAFS2,HIST3
ECON1,CLIT2,VA3
CHIS1,CLIT2,VA3
PHY1,CLIT2,VA3
BIO1,CLIT2,HIST3
CHIS1,CLIT2,VA3
CHIS1,BAFS2,VA3
CHIS1,GEO2,BIO3
CHIS1,CLIT2,VA3
CHIS1,GEO2,HIST3
CHIS1,CLIT2,BAFS3
ECON1,BAFS2,BIO3
ECON1,ICT2,HIST3
CHIS1,BAFS2,PHY3
ECON1,GEO2,BAFS3
CHIS1,ECON2,BAFS3
CHIS1,ECON2,BAFS3
CHEM1,GEO2,HIST3
ECON1,GEO2,HIST3
ECON1,BAFS2,HIST3
ECON1,CLIT2,BAFS3
CHIS1,ECON2,BAFS3
ECON1,GEO2,BAFS3
BIO1,GEO2,VA3
ECON1,GEO2,BAFS3
ECON1,BAFS2,BIO3
ECON1,BAFS2,VA3
ECON1,GEO2,BAFS3
CHIS1,GEO2,BAFS3
BIO1,GEO2,VA3
ECON1,ICT2,BAFS3
ECON1,GEO2,VA3
BIO1,BAFS2,VA3
CHEM1,GEO2,PHY3
ECON1,GEO2,VA3
ECON1,BAFS2,BIO3
BIO1,GEO2,HIST3
ECON1,GEO2,HIST3
ECON1,GEO2,HIST3
CHIS1,ECON2,BAFS3
ECON1,BAFS2,PHY3
CHEM1,GEO2,HIST3
CHIS1,ECON2,BAFS3
